"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4"
"IMF.STA:CPI(3.0.1)","IND.CPI.CP03.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Clothing and footwear","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.8870602265951","86.3181872391175","88.146849532896","90.4790300139137","92.1486781951898","93.5267740011926","95.0904392764858","96.627549194991","97.9262174517988","99.251282051282","100.682409063804","102.140091433115","103.412204333135","104.525303120652","105.929874776386","107.308050089445","108.103120651958","109.110157026436","110.673822301729","112.52896044524","113.430093420791","114.993679189028","116.133333333333","116.42480620155","116.53086861459","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP04.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Housing, water, electricity, gas and other fuels","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5356398499375","87.1196331804919","91.0379324718633","92.5663192997082","93.7334722801167","94.622759483118","95.8176740308462","96.9014589412255","98.1798249270529","99.4025010421009","100.569654022509","101.848020008337","103.042934556065","103.793247186328","104.849270529387","106.155314714464","107.906044185077","109.045435598166","110.490454355982","114.130887869946","116.187328053356","117.215506461025","119.271946644435","121.244935389746","120.633597332222","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP01.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Food and non-alcoholic beverages","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.4119332916798","86.1635050779275","91.9549347572848","95.0995882272822","90.6708155128114","93.3700288187836","99.1352006416665","97.9297763502798","96.3574496152811","98.0870090237797","101.886772427914","103.668768933025","101.886772427914","105.136221474799","108.018846694409","106.027259035523","103.511536259525","104.3500581073","108.936063495271","109.931818016545","107.180246230298","107.337478903797","109.695969006295","107.861614020909","106.36790362266","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP08.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Communication","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.4200658099241","92.9407518361166","94.461437862309","95.2068423715009","96.6082887228161","97.2642411128201","98.2482144238859","98.5762353449475","98.9340438216987","99.649660775201","100.305613165205","101.110682237895","101.677271960831","102.392888914333","102.810272502463","103.048841304337","102.750697391084","102.720820383275","103.406649781088","103.376862225399","103.436437336778","103.824122821338","103.048841304337","103.943362496215","104.748431568905","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP05.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Furnishings, household equipment and routine household maintenance","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.8882923807557","88.3198843691927","89.8891596118109","91.7062151558951","93.1378897377658","94.2391079909147","95.5055131117076","96.7720008259343","98.0109023332645","99.3874045013421","100.736485649391","101.865207516002","102.938922155689","104.040223002271","105.224034689242","106.325252942391","107.151187280611","108.059715052653","109.573983068346","110.867891802602","111.693826140822","113.373281024159","114.91497005988","117.530456328722","118.604170968408","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP12.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Miscellaneous goods and services","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8915070287954","91.3201486946523","93.3955762962917","95.8861249975261","96.6273300806471","96.7756066765384","97.4278635917581","97.398243851847","98.7028466304544","99.8591728131704","100.214965484775","101.2230150716","103.298442673239","105.759371634563","107.953456092182","108.457436411511","108.783609343205","109.554523114404","110.829417204933","112.519432395056","113.616430149782","115.395393507807","115.958791203293","117.678426133328","118.686475720152","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP07.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Transport","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5810146561443","94.6110484780158","98.5494475760992","99.872198421646","101.104847801578","101.375422773393","102.457722660654","100.232965050733","98.2487485907554","100.774114994363","100.894430665163","100.082705749718","99.4212401352875","101.465614430665","102.187147688839","104.441939120631","106.636572717024","105.704622322435","106.215738444194","107.418263810598","109.853438556933","112.919954904171","115.355129650507","115.866245772266","114.002254791432","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP11.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Restaurants and hotels","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.6804509841391","84.5404165870438","86.8081024269062","88.999273839098","90.7318937511944","92.0823237148863","93.9932734569081","95.827785209249","97.5094209822282","99.292948595452","100.89814637875","102.29948404357","103.802789986623","105.000343970954","106.605541754252","108.338085228359","109.561093063252","110.478348939423","112.058092872157","113.612306516339","114.504108541945","115.854538505637","116.92467036117","117.867380087904","118.376992165106","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP06.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Health","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1141648816806","89.2950180227711","90.7007393405863","92.1065450050545","93.3998322345073","94.355817198873","95.5084985578831","96.7736983519086","97.9827232750793","99.3322697220398","100.709903604428","101.975103398453","103.296562409986","104.308722245207","105.348969515854","106.670428527388","107.485723274658","108.244843151073","109.706908033049","111.618709268474","112.855821627072","114.542754685773","116.145341091538","120.475107826652","122.836814108833","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP10.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Education","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6966054387101","85.4939095630011","88.7130097721823","89.7056193216833","90.1884843530604","91.5566019419624","95.4463212022213","96.5730062754347","97.1363488120414","98.79957741262","101.589410608907","102.474663166432","102.79657318735","104.593957789146","107.222835974974","108.242244533716","108.939743071541","110.066428144754","112.212441299205","113.124573343476","113.821991403795","116.316794065911","119.616371780321","121.655188897806","123.345216507626","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP02.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Alcoholic beverages, tobacco and narcotics","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7409272302941","83.8526708635508","85.8872319010579","87.4581565450783","88.6943142347614","90.2910436705539","92.5830345469376","94.308556162024","96.5748195064911","98.8926151746469","101.364930554013","103.167634764849","104.970416235541","106.489808555872","108.292590026564","109.940774526189","111.588959025815","112.825116715498","115.580743985369","118.207579075945","119.984555754865","121.838792289389","122.225091567415","125.263953467934","126.216876526969","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI.CP09.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","Recreation and culture","Index","Quarterly","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.770428938953","88.9862921664281","91.0787848917563","92.5208887686193","93.7367519960944","94.7264594038215","96.2250598208016","97.0733562189563","98.0064822569265","99.3072599538569","100.777612100778","101.908645688438","102.672112446777","103.633571584446","104.792853442164","105.754312579833","106.3763683286","107.168083356997","108.553690693743","109.684724281403","110.67443168913","112.201365205808","113.67171735273","115.651047338544","116.980073305533","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","IND.CPI._T.IX.Q","OBS_VALUE","India","Consumer price index (CPI)","All Items","Index","Quarterly","Units","44.6072687853984","45.4684140135074","45.8817627695177","46.32955924161637","45.91620730733273","46.708461870675","48.017401981746","48.53409388602147","48.2585216921345","48.80966607990843","49.946359664854","50.29080504300407","50.08413781611403","51.11752162466497","51.6341976375735","51.97865890709047","52.082000466219","52.49535081136597","53.80429092243697","54.14875219195393","54.28653034321397","54.5965232378655","55.8021535725419","56.86995808185747","56.73217993059747","57.8445756155111","59.27479863897153","60.5461079931587","60.7050216624321","61.499590008799","63.2476403708062","63.88329504789973","64.51894972499328","66.26700008700043","68.96853246464794","70.39875548810836","70.55766915738172","72.14680585011553","77.07312959759042","79.77466197523798","81.36379866797176","81.9994533450653","85.01881306125954","87.0846907618135","88.67382745454734","89.30948213164083","92.80558285565527","94.57396748209193","95.37034641364772","98.36366155827832","102.0775896080978","104.1839965617268","105.0666666666667","107.4333333333333","112.3666666666667","115.2","113.8","115.8666666666667","119.8666666666667","119.8666666666667","119.8","121.7666666666667","124.6","126.2666666666667","126.1","128.6666666666667","131.0333333333333","131.0","130.5666666666667","131.5333333333333","134.9333333333333","136.9666666666667","136.6","137.8","140.1333333333333","140.5","139.9666666666667","142.0333333333333","145.0","148.7333333333333","149.3","151.3666666666667","155.0","158.2","156.5666666666667","159.8333333333333","162.8666666666667","166.1","166.5","171.4666666666667","174.3333333333333","176.3","176.8333333333333","179.3666666666667","185.5333333333333","185.7666666666667","185.7","188.2","193.4","196.2333333333333"
