date,actual,predicted,split_date,is_hit
2025-01-02,-0.003472387830386717,-0.00020172998194378745,2025-01-01,1
2025-01-03,0.009660325858437154,0.001216385102045019,2025-01-01,1
2025-01-06,0.005691070612102194,0.00033314981249312685,2025-01-01,1
2025-01-07,-0.01931300603418561,0.00037405710380681754,2025-01-01,0
2025-01-08,-0.01644467288552147,-0.0011962954626241373,2025-01-01,1
2025-01-09,-0.011504208245127958,-0.0004207159745809807,2025-01-01,1
2025-01-10,-0.022602586688952438,0.000923060655395291,2025-01-01,0
2025-01-13,-0.025288768003600467,-0.001205148200149281,2025-01-01,1
2025-01-14,0.00810461689722869,-0.0008501623216758916,2025-01-01,0
2025-01-15,0.03822953816866602,-0.0003744716092605035,2025-01-01,0
2025-01-16,-0.002226921331181657,0.0042810068918761445,2025-01-01,0
2025-01-17,0.004424463831604858,-0.0006396720932835196,2025-01-01,0
2025-01-20,0.0015717439815254588,6.27924645245847e-06,2025-01-01,1
2025-01-21,0.014380191575119492,-0.0009520225583214483,2025-01-01,0
2025-01-22,-0.0027551321992139305,0.0014786406447138732,2025-01-01,0
2025-01-23,0.004717892072874472,-0.0016467648112659218,2025-01-01,0
2025-01-24,0.005865037582388491,0.00030882797488494893,2025-01-01,1
2025-01-27,-0.018475758139872313,-0.0006923709350006248,2025-01-01,1
2025-01-28,0.012260097419162553,-0.0016408839245883556,2025-01-01,0
2025-01-29,0.055410813535616214,-0.0007778169379906742,2025-01-01,0
2025-01-30,-0.016839989361856617,0.0005549394724591793,2025-01-01,0
2025-01-31,-0.0029521088744335487,0.001580651497015952,2025-01-01,0
2025-02-03,-0.004958610084749091,-0.0009384222869056459,2025-01-01,1
2025-02-04,-0.004191411449505534,-0.0010976176660292807,2025-01-01,1
2025-02-05,-0.006272159022166665,0.00010429723967044565,2025-01-01,0
2025-02-06,0.03740362190633065,0.0011747375871920137,2025-01-01,1
2025-02-07,-0.0005929659175821363,0.001009797059395689,2025-01-01,0
2025-02-10,0.01237739833758234,0.0001574640144693238,2025-01-01,1
2025-02-11,0.021867207319595915,0.0006950647802217638,2025-01-01,1
2025-02-12,0.05726234331334384,-0.0017437088150119764,2025-01-01,0
2025-02-13,-0.0022978195150277843,-0.00016312646203654085,2025-01-01,1
2025-02-14,0.006333675757810834,0.00010350902179631779,2025-01-01,1
2025-02-17,0.004855237114920829,-0.00010694723996250541,2025-01-01,0
2025-02-18,0.0015357213819333128,8.360566069165942e-06,2025-01-01,1
2025-02-19,-0.012942481733781869,0.00040959529802637475,2025-01-01,0
2025-02-20,0.008143037490077715,-0.0012468199026346503,2025-01-01,0
2025-02-21,0.046380543073575226,0.0002702583952385733,2025-01-01,1
2025-02-24,0.025533960517190375,-0.0010543117219390832,2025-01-01,0
2025-02-25,0.028177816913464385,-0.002254927600886897,2025-01-01,0
2025-02-26,0.026880146623454303,0.0007919770556823002,2025-01-01,1
2025-02-27,-0.01847243664612171,0.00034050063318326687,2025-01-01,0
2025-02-28,-0.017310834761571855,-0.0006353643057579572,2025-01-01,1
2025-03-03,0.004126117211810517,-0.0004066848329678529,2025-01-01,0
2025-03-04,-0.024632904381701577,-0.0017545377705642136,2025-01-01,1
2025-03-05,0.04709939314213047,-0.0011455500122779642,2025-01-01,0
2025-03-06,0.007378295687501702,0.001615095291769788,2025-01-01,1
2025-03-07,-0.002091786196049371,-0.001923896262405537,2025-01-01,1
2025-03-10,-0.03367169870099017,-0.00042533498381161706,2025-01-01,1
2025-03-11,-0.03543173444155872,-0.004694871621806561,2025-01-01,1
2025-03-12,0.03473624915690783,0.000985068146051669,2025-01-01,1
2025-03-13,-0.0034269387575821377,0.000226838588317684,2025-01-01,0
2025-03-14,0.05311590859285753,-0.00119664386886597,2025-01-01,0
2025-03-17,-0.0076075378135693145,0.0014713449260353615,2025-01-01,0
2025-03-18,0.035840520338566106,0.000602655793697486,2025-01-01,1
2025-03-19,-0.008725773142610645,0.00036403355547320936,2025-01-01,0
2025-03-20,-0.010841301277909983,0.0013899559489372487,2025-01-01,0
2025-03-21,-0.007276492336814384,-0.0014797585403685453,2025-01-01,1
2025-03-24,-0.01148383872223629,-0.0017409902951935783,2025-01-01,1
2025-03-25,0.013221052818421506,0.0014112773701888386,2025-01-01,1
2025-03-26,0.011812111920496193,0.00010505202304036422,2025-01-01,1
2025-03-27,-0.020221553007771526,-0.0009173734931535462,2025-01-01,1
2025-03-28,-0.011323157413430601,0.0007987419771200238,2025-01-01,0
2025-03-31,-0.025000707288960224,-0.0020982204628260297,2025-01-01,1
2025-04-01,0.01635456229805886,-0.0006884162649570679,2025-01-01,0
2025-04-02,0.0060875813515537894,0.0006672502704602241,2025-01-01,1
2025-04-03,-0.05101658086083216,-0.0007895691666193114,2025-01-01,1
2025-04-04,-0.12388794295032195,-0.006042425642866971,2025-01-01,1
2025-04-07,-0.046666622507807926,-0.009943307256096738,2025-01-01,1
2025-04-08,0.05026624325623115,-0.007654902417491044,2025-01-01,0
2025-04-09,-0.042024595892579175,-0.002432302436570158,2025-01-01,1
2025-04-10,0.09624720599447001,0.006216863958504382,2025-01-01,1
2025-04-11,-0.007878451273023458,-0.0014763032551944329,2025-01-01,1
2025-04-14,0.04297873419674186,0.0021643056740566114,2025-01-01,1
2025-04-15,0.024605378993916325,0.0017257284041203506,2025-01-01,1
2025-04-16,-0.005004615185718428,-3.5489749700515845e-05,2025-01-01,1
2025-04-17,-0.00482893048314194,0.00012773203196716413,2025-01-01,0
2025-04-22,0.04755228543731786,0.0004787674998403157,2025-01-01,1
2025-04-23,0.035102264777675384,0.003228012436899633,2025-01-01,1
2025-04-24,0.0038578990740323715,0.0012601522224135234,2025-01-01,1
2025-04-25,0.02092336779227119,0.00031046543590893655,2025-01-01,1
2025-04-28,0.0203814242094624,0.0001641584657670088,2025-01-01,1
2025-04-29,0.0196533382384525,0.0013995552721549538,2025-01-01,1
2025-04-30,-0.0001436931082259687,-0.001544085940497768,2025-01-01,1
2025-05-01,0.03199075440905985,-0.00205700264491195,2025-01-01,0
2025-05-02,-0.01626724213018017,-0.0010879106026541456,2025-01-01,1
2025-05-05,-0.000844875502271161,0.0015286833410165963,2025-01-01,0
2025-05-06,0.02725718986263447,-0.0007512187373467005,2025-01-01,0
2025-05-07,0.031696181147543176,0.0006765011379107328,2025-01-01,1
2025-05-08,-0.02991106549131428,-0.0001485525455328276,2025-01-01,1
2025-05-09,0.0261205776439382,0.0013732214612510916,2025-01-01,1
2025-05-12,0.01879517092000135,0.0007435233301030468,2025-01-01,1
2025-05-13,0.011838105155056806,0.0027570580138995254,2025-01-01,1
2025-05-14,-0.01935411739263854,0.0012794801670218889,2025-01-01,0
2025-05-15,-0.05433013284139196,-0.0010313638181046673,2025-01-01,1
2025-05-16,0.03282124303200324,-0.0017107761105789412,2025-01-01,0
2025-05-19,0.0018878724405092815,-0.0012599106615648952,2025-01-01,0
2025-05-20,-0.004676763288738156,0.00020469243033365524,2025-01-01,0
2025-05-21,0.011460497309297308,-0.00038997079905082904,2025-01-01,0
2025-05-22,0.021066012218658843,-0.0004775594060709487,2025-01-01,0
2025-05-23,-0.0030904852595611816,-0.0005074486478135178,2025-01-01,1
2025-05-26,-0.000844875502271161,-0.001212560387796748,2025-01-01,1
2025-05-27,0.008402555127844444,-0.0011206393250116319,2025-01-01,0
2025-05-28,-0.03845468806016959,-0.0002591134592395192,2025-01-01,1
2025-05-29,-3.916217263692973e-05,0.00019131790232431833,2025-01-01,0
2025-05-30,0.00933884067540982,0.00037068884130384016,2025-01-01,1
2025-06-02,-0.008888885218921823,-0.0011797136114256818,2025-01-01,1
2025-06-03,0.003100735445913406,8.758964022135575e-05,2025-01-01,1
2025-06-04,0.027175474631694112,0.00038918913266812753,2025-01-01,1
2025-06-05,-0.009957324741806845,-0.0003086359469224887,2025-01-01,1
2025-06-06,0.011325747579586716,-6.964302405496634e-05,2025-01-01,0
2025-06-09,-0.006892194782147949,7.19624755698325e-05,2025-01-01,0
2025-06-10,-0.018277930915348007,0.001901594422887919,2025-01-01,0
2025-06-11,0.0019662804870763753,-0.0006555776078267276,2025-01-01,0
2025-06-12,0.005968303434318687,0.0007675512936919227,2025-01-01,1
2025-06-13,-0.022261729791510823,0.00011145897880842769,2025-01-01,0
2025-06-16,-0.0035234001112200795,-0.0012212251583391164,2025-01-01,1
2025-06-17,0.0027149446622393054,-1.8834423733175897e-05,2025-01-01,0
2025-06-18,0.010854511455841967,-0.000517375522949608,2025-01-01,0
2025-06-19,-0.03130664465320325,-1.8320400764561024e-05,2025-01-01,1
2025-06-20,0.0026782209575648354,-0.0008782047339437269,2025-01-01,0
2025-06-23,-0.01622319477619948,-0.001841593818581005,2025-01-01,1
2025-06-24,0.026286041012657146,-0.0015385877779795307,2025-01-01,0
2025-06-25,0.013616568934631553,0.0009125492263385358,2025-01-01,1
2025-06-26,0.020431022924747126,-0.0005033329817002245,2025-01-01,0
2025-06-27,0.010641004315347088,0.0018640169835834274,2025-01-01,1
2025-06-30,0.014689890157686085,-0.0011755785900550181,2025-01-01,0
2025-07-01,-0.0146279187525071,0.00032026854681357485,2025-01-01,0
2025-07-02,0.004011751659048509,0.0002485831132026014,2025-01-01,1
2025-07-03,0.04869498713942811,0.0009189702443834891,2025-01-01,1
2025-07-04,-0.011409564458870165,0.00037296885634841026,2025-01-01,0
2025-07-07,0.00010520837851277581,-0.0013921200478366038,2025-01-01,0
2025-07-08,0.005407663372568826,-0.0009792427494630272,2025-01-01,0
2025-07-09,0.001404792466077927,0.00219694770806417,2025-01-01,1
2025-07-10,0.006881911376985991,4.2218209700672416e-05,2025-01-01,1
2025-07-11,0.0007394711151751128,0.00041422738625405357,2025-01-01,1
2025-07-14,0.023207583506422064,-0.001003870253440699,2025-01-01,0
2025-07-15,-0.019594642683089518,0.0001477148913024256,2025-01-01,0
2025-07-16,0.021378577798525745,-0.0004690868560611119,2025-01-01,0
2025-07-17,0.009355936770838427,-0.0005162189914640549,2025-01-01,0
2025-07-18,-0.009467311691028485,0.0013258918172757575,2025-01-01,0
2025-07-21,0.0033526663109833556,-0.00020041606251699627,2025-01-01,0
2025-07-22,-0.017495925065719533,0.0003839861822045868,2025-01-01,0
2025-07-23,0.005947551403361301,0.0006126888560882955,2025-01-01,1
2025-07-24,0.00829437678713309,0.0002039955044293903,2025-01-01,1
2025-07-25,-0.007758885373074755,4.4645148268201594e-05,2025-01-01,0
2025-07-28,0.005005293805609368,-0.0010205874167220834,2025-01-01,0
2025-07-29,0.009336104313681459,-0.0014429521105012283,2025-01-01,0
2025-07-30,0.013590965946066466,0.0018324493205418508,2025-01-01,1
2025-07-31,-0.012228278462766596,-0.0012216655638479133,2025-01-01,1
2025-08-01,-0.008685192047347443,-0.0051143298036196395,2025-01-01,1
2025-08-04,0.028526480554228916,-0.002725769771905569,2025-01-01,0
2025-08-05,0.0027186952362142844,-0.0003295326814916961,2025-01-01,0
2025-08-06,0.0018804390666842564,-0.0003508188206410121,2025-01-01,0
2025-08-07,0.04327830198687924,-0.00033575078592691914,2025-01-01,0
2025-08-08,-0.027128376951654133,0.0016406899302096765,2025-01-01,0
2025-08-11,0.009203536708528973,-0.00024106559192784018,2025-01-01,0
2025-08-12,0.0010347735669829457,0.0006353799971817055,2025-01-01,1
2025-08-13,-0.012605623594304284,0.0011476504434543766,2025-01-01,0
2025-08-14,0.0025329267761433857,-0.00030126285847489946,2025-01-01,0
2025-08-15,-0.024068691021194848,0.0005140864464899319,2025-01-01,0
2025-08-18,-0.011805077019404336,-0.0014497183562148597,2025-01-01,1
2025-08-19,-0.005934214170843764,-0.0008601641647435765,2025-01-01,1
2025-08-20,0.0057028783714184175,-0.0018564364567691428,2025-01-01,0
2025-08-21,-0.009157321691527588,0.0006108745318675336,2025-01-01,0
2025-08-22,0.0021560681546867683,-0.0018521841088123786,2025-01-01,0
2025-08-25,-0.000844875502271161,0.0029149362426901374,2025-01-01,0
2025-08-26,-0.03109818465395713,-0.0007985624169275337,2025-01-01,1
2025-08-27,-0.0009383026638520922,-0.0013639929094341214,2025-01-01,1
2025-08-28,-0.00021995225721007885,-0.0001366542654201551,2025-01-01,1
2025-08-29,-0.013836196232437583,5.007109666006391e-05,2025-01-01,0
2025-09-01,-0.006958084792057163,-0.0014888797977617159,2025-01-01,1
2025-09-02,-0.021524880064951693,-0.0003402059472363096,2025-01-01,1
2025-09-03,0.018880156848242645,-0.0012441576868160926,2025-01-01,0
2025-09-04,0.031543439668724554,-0.0011643775160766414,2025-01-01,0
2025-09-05,-0.030673691492376677,-0.0008499294809948494,2025-01-01,1
2025-09-08,0.007635883833902494,-0.0019973369365295307,2025-01-01,0
2025-09-09,0.023256920147379342,0.00032229186296108925,2025-01-01,1
2025-09-10,0.014681569777797351,0.0002868141810677629,2025-01-01,1
2025-09-11,0.01965319257809859,0.00031841544984404803,2025-01-01,1
2025-09-12,-0.028325242437332566,0.000527551676595763,2025-01-01,0
2025-09-15,0.02686597292732447,-8.857147143290515e-05,2025-01-01,0
2025-09-16,-0.029463653087996675,-0.0010724295007342862,2025-01-01,1
2025-09-17,0.0018053780858558067,-0.0009841947553522606,2025-01-01,0
2025-09-18,0.03675732162514947,-0.0014626627196282866,2025-01-01,0
2025-09-19,-0.041457811956051464,-0.0017042192309566538,2025-01-01,1
2025-09-22,-0.011595576101250449,-0.000925019735147622,2025-01-01,1
2025-09-23,-0.000789108782472553,-0.0002157131777267576,2025-01-01,1
2025-09-24,0.012923174144464391,3.4651911179109395e-05,2025-01-01,1
2025-09-25,-0.017012216104477805,0.000539853861567909,2025-01-01,0
2025-09-26,-0.002175611919999856,-0.001255925883117239,2025-01-01,1
2025-09-29,0.02448118824065328,0.0005611792657434172,2025-01-01,1
2025-09-30,0.01181703106018931,0.000490123900458494,2025-01-01,1
2025-10-01,-0.009354436932961415,-0.0017953963955374811,2025-01-01,1
2025-10-02,-0.020067620552566154,7.659463784834004e-05,2025-01-01,0
2025-10-03,0.012572632307996282,0.00030082016707955975,2025-01-01,1
2025-10-06,-0.0064888711137039085,0.00027514886718936113,2025-01-01,0
2025-10-07,0.0059967730714835426,0.000610805634629439,2025-01-01,1
2025-10-08,0.01016717622247722,-0.0012741935241042436,2025-01-01,0
2025-10-09,-0.000482705086408266,0.00028920806810663014,2025-01-01,0
2025-10-10,-0.007720810619655565,-0.0012738533994850285,2025-01-01,1
2025-10-13,0.031351596741348034,-0.004319563316844435,2025-01-01,0
2025-10-14,-0.04980510263975548,0.001991156912355828,2025-01-01,0
2025-10-15,0.002681663422374649,-0.00119658389840085,2025-01-01,0
2025-10-16,0.003749034381582764,-0.0005905307741509056,2025-01-01,0
2025-10-17,-0.051531932243587625,-0.0009459090531878274,2025-01-01,1
2025-10-20,0.015970577431042587,-0.0016647879894595603,2025-01-01,0
2025-10-21,0.0139773443652559,-0.00031721756278165305,2025-01-01,0
2025-10-22,0.01967244907642868,-0.0009672676632696305,2025-01-01,0
2025-10-23,0.00703011414859985,-0.0006842320046217436,2025-01-01,0
2025-10-24,0.006233083797711138,0.00013141196766129246,2025-01-01,1
2025-10-27,0.010720575688765513,0.00020666527379145227,2025-01-01,1
2025-10-28,0.01339824465037423,-0.00015723321960694515,2025-01-01,0
2025-10-29,-0.0017852980922242224,-0.0005062420927933806,2025-01-01,1
2025-10-30,0.008958271874133485,-0.000382554478870459,2025-01-01,0
2025-10-31,-0.002628742008947062,-0.00027908925498711405,2025-01-01,1
2025-11-03,0.00012129070477177063,-0.0012016739441369538,2025-01-01,0
2025-11-04,-0.02417378201396347,0.0005283462191888469,2025-01-01,0
2025-11-05,0.003467536991676363,-0.002676761276663304,2025-01-01,0
2025-11-06,-0.07577638992153587,0.00010592440473289636,2025-01-01,0
